0.0043,0.0031,0.0012,0.0036,0.0101,0.0021,0.0000,0.0044,0.0020,0.0000,0.0000,0.0021,0.0015,0.0026,0.0012,0.0019,0.0038,0.0039,0.0065,0.0062,0.0052,0.0000,0.0000,0.0049,0.0020,0.0032,0.0035,0.0022,0.0046,0.0032
0.0061,0.0054,0.0047,0.0036,0.0121,0.0050,0.0055,0.0055,0.0020,0.0000,0.0000,0.0042,0.0046,0.0026,0.0012,0.0042,0.0061,0.0039,0.0080,0.0062,0.0052,0.0000,0.0052,0.0089,0.0020,0.0052,0.0056,0.0044,0.0068,0.0032
0.0061,0.0054,0.0062,0.0036,0.0141,0.0075,0.0075,0.0079,0.0070,0.0093,0.0082,0.0067,0.0075,0.0026,0.0076,0.0075,0.0061,0.0079,0.0095,0.0112,0.0052,0.0000,0.0052,0.0121,0.0068,0.0052,0.0073,0.0074,0.0068,0.0072
0.0114,0.0101,0.0090,0.0036,0.0161,0.0101,0.0075,0.0100,0.0084,0.0093,0.0082,0.0067,0.0091,0.0090,0.0076,0.0094,0.0061,0.0115,0.0134,0.0112,0.0080,0.0000,0.0052,0.0121,0.0089,0.0052,0.0096,0.0097,0.0068,0.0072
0.0114,0.0124,0.0119,0.0121,0.0161,0.0124,0.0115,0.0120,0.0084,0.0093,0.0082,0.0067,0.0091,0.0113,0.0091,0.0117,0.0061,0.0147,0.0134,0.0112,0.0080,0.0000,0.0052,0.0121,0.0089,0.0052,0.0116,0.0112,0.0129,0.0127
0.0164,0.0124,0.0119,0.0145,0.0205,0.0140,0.0135,0.0120,0.0131,0.0163,0.0145,0.0148,0.0111,0.0113,0.0091,0.0117,0.0157,0.0147,0.0134,0.0112,0.0163,0.0000,0.0137,0.0121,0.0089,0.0133,0.0146,0.0149,0.0129,0.0139
0.0191,0.0124,0.0165,0.0145,0.0205,0.0140,0.0135,0.0120,0.0131,0.0163,0.0177,0.0163,0.0111,0.0189,0.0091,0.0117,0.0180,0.0147,0.0134,0.0112,0.0163,0.0212,0.0137,0.0121,0.0089,0.0133,0.0159,0.0149,0.0129,0.0139
0.0211,0.0194,0.0165,0.0145,0.0249,0.0140,0.0135,0.0195,0.0131,0.0163,0.0207,0.0163,0.0111,0.0189,0.0157,0.0117,0.0203,0.0147,0.0134,0.0112,0.0163,0.0212,0.0137,0.0248,0.0089,0.0191,0.0159,0.0195,0.0211,0.0200
0.0229,0.0209,0.0165,0.0145,0.0249,0.0221,0.0218,0.0235,0.0131,0.0163,0.0207,0.0163,0.0203,0.0237,0.0157,0.0117,0.0224,0.0147,0.0134,0.0261,0.0163,0.0281,0.0209,0.0262,0.0221,0.0222,0.0212,0.0195,0.0211,0.0200
0.0229,0.0209,0.0237,0.0175,0.0296,0.0221,0.0218,0.0235,0.0206,0.0163,0.0207,0.0239,0.0216,0.0262,0.0253,0.0117,0.0224,0.0147,0.0134,0.0284,0.0163,0.0281,0.0209,0.0262,0.0247,0.0222,0.0212,0.0246,0.0256,0.0200
